;AGS_TXT;Aktualisierung;Death;Fallzahl;GlobalID;LAN_ew_AGS;LAN_ew_BEZ;LAN_ew_EWZ;LAN_ew_GEN;OBJECTID;OBJECTID_1;Shape__Area;Shape__Length;faelle_100000_EW
0;01;1596146400000;156;3427;fc5ba936-c95c-432c-8a33-9eb2f30b660f;01;Land;2896712;Schleswig-Holstein;15;1;45737314116.8701;2881496.1295035;118.306548942387
1;02;1596146400000;261;5386;0f3e860c-5181-4d3f-a421-1d51f50315ea;02;Freie und Hansestadt;1841179;Hamburg;6;2;2089396054.82129;418800.187474072;292.529949559494
2;03;1596146400000;651;14430;3fd77024-c29b-4843-9be8-682ad48e60c9;03;Land;7982448;Niedersachsen;9;3;129983613598.973;4008988.2951652;180.771612918744
3;04;1596146400000;56;1774;4132268b-54de-4327-ac1e-760e915112f1;04;Freie Hansestadt;682986;Bremen;5;4;1119156745.43408;335717.737774516;259.741780944265
4;05;1596146400000;1733;48689;561d658f-3ee5-46e3-bc95-3528c6558ab9;05;Land;17932651;Nordrhein-Westfalen;10;5;87829361998.0295;2648672.50917441;271.510330513877
5;06;1596146400000;520;11965;93277ac4-e8fc-48c7-8940-028dc2ed66af;06;Land;6265809;Hessen;7;6;52359125900.6655;2148243.6201819;190.956985761934
6;07;1596146400000;239;7498;e9b4296f-9be2-4e53-9a58-ccf1396cb03d;07;Land;4084844;Rheinland-Pfalz;11;7;47838767393.1633;1774430.12830596;183.556581352923
7;08;1596146400000;1847;37224;80394ddf-c6a4-4a6e-be8e-0259a81b22a9;08;Land;11069533;Baden-Württemberg;1;8;81517323536.8628;2544320.39805124;336.27434870107
8;09;1596146400000;2622;50915;1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a;09;Freistaat;13076721;Bayern;2;9;163485540875.077;3898617.90542911;389.356016695623
9;10;1596146400000;174;2862;e3396a6f-8a30-4fdf-8df7-def77dd38bea;10;Land;990509;Saarland;12;10;6060691818.01318;562678.876124348;288.942351861518
10;11;1596146400000;223;9192;c7033073-2bb0-486b-97af-5b3c639e7219;11;Land;3644826;Berlin;3;11;2402458320.59863;363979.182407356;252.19310880684
11;12;1596146400000;168;3560;b560af89-5895-4be4-96f8-0f581cd8a858;12;Land;2511917;Brandenburg;4;12;79801970800.2686;2571385.42188057;141.724427996626
12;13;1596146400000;20;864;a27f5628-e790-45be-898d-f0a6841c0f7e;13;Land;1609675;Mecklenburg-Vorpommern;8;13;65873523064.0757;4131181.10875485;53.6754313758989
13;14;1596146400000;225;5536;256d2405-a7c8-4fec-93df-29f3c808cd25;14;Freistaat;4077937;Sachsen;13;14;46626497892.9951;2048279.98573376;135.754917253503
14;15;1596146400000;64;2015;66106bbe-f04b-4f92-80e1-5b5b30da25b5;15;Land;2208321;Sachsen-Anhalt;14;15;54177007537.6553;1920386.52842308;91.2457926180116
15;16;1596146400000;182;3361;3a3e2817-bb19-4f8c-8bca-d8ff591140d4;16;Freistaat;2143145;Thüringen;16;16;40685205073.9761;2015719.49965031;156.825599761099
